id;date;career_switch;happiness_with_salary;happiness_with_work_life_balance;happiness_with_coworkers;happiness_with_management;happiness_with_upward_mobility;happiness_with_skills_development;career_switch_difficulty;gender;age;education;time;time_spent;current_role;other_role_specified;industry;other_industry_specified;low_range;high_range;salary_average;current_salary;location;other_location_specified;favourite_programming_language;other_programming_language;ethnicity;other_ethnicity_specified;important_needs;other_needs_specified
62a33ce918134ddc75ce8c30;2022-06-10;True;10;10;8;8;8;10;Neither easy nor difficult;Male;37;NA;08:45;00:01:29;Data Analyst;NA;Other;Logistics;66,00;85,00;75,50;75500;Canada;NA;Python;NA;White or Caucasian;NA;Remote Work;NA
62a33cf30a77c1a77f65baa2;2022-06-10;True;3;8;10;10;7;8;Neither easy nor difficult;Male;32;NA;08:45;00:02:31;Data Analyst;NA;Other;Igaming;,00;40,00;20,00;20000;Other;Serbia;Python;NA;White or Caucasian;NA;Better Salary;NA
62a33d15f408bae018ed370d;2022-06-10;True;1;10;9;9;5;10;Neither easy nor difficult;Male;34;NA;08:46;00:03:20;Data Analyst;NA;Tech;NA;,00;40,00;20,00;20000;Other;Argentina;R;NA;Other;Latino with Italian roots;Better Salary;NA
62a33d1ebae91e4b8b82e707;2022-06-10;True;3;10;10;6;7;8;Easy;Male;30;NA;08:46;00:00:55;Data Scientist;NA;Education;NA;,00;40,00;20,00;20000;United Kingdom;NA;Python;NA;White or Caucasian;NA;Good Work/Life Balance;NA
62a33d4624a26260273824c4;2022-06-10;False;4;5;5;5;4;5;Neither easy nor difficult;Male;31;NA;08:47;00:01:24;Data Analyst;NA;Construction;NA;41,00;65,00;53,00;53000;United States;NA;R;NA;White or Caucasian;NA;Good Culture;NA
62a33d5c0f8c8599d5af107c;2022-06-10;True;4;10;7;7;7;5;Difficult;Male;29;NA;08:47;00:00:47;Data Analyst;NA;Finance;NA;41,00;65,00;53,00;53000;United States;NA;Python;NA;White or Caucasian;NA;Good Culture;NA
62a33d850f8c8599d5af10cb;2022-06-10;True;1;2;4;2;2;2;Neither easy nor difficult;Male;22;NA;08:48;00:01:06;Data Analyst;NA;Tech;NA;,00;40,00;20,00;20000;Other;Niger;Python;NA;Black or African American;NA;Better Salary;NA
62a33d9bf8f7561645852496;2022-06-10;True;1;3;2;2;4;1;Difficult;Male;23;NA;08:48;00:01:04;Student/Looking/None;NA;Other;Retail;,00;40,00;20,00;20000;United States;NA;Python;NA;Black or African American;NA;Better Salary;NA
62a33dbdd8c00e9f5419cd65;2022-06-10;False;7;8;8;6;8;3;Very Difficult;Female;26;NA;08:49;00:01:05;Student/Looking/None;NA;Tech;NA;41,00;65,00;53,00;53000;Canada;NA;R;NA;Asian or Asian American;NA;Better Salary;NA
62a33de124a26260273826b2;2022-06-10;False;1;1;1;1;2;0;Very Difficult;Male;28;NA;08:49;00:01:21;Data Analyst;NA;Other;Aviation;,00;40,00;20,00;20000;Other;Nigeria;Python;NA;Black or African American;NA;Better Salary;NA
62a33dedd8c00e9f5419ce2b;2022-06-10;True;5;5;5;5;5;5;Easy;Male;29;NA;08:49;00:01:23;Data Analyst;NA;Finance;NA;41,00;65,00;53,00;53000;Other;Kenya;Python;NA;Black or African American;NA;Remote Work;NA
62a33dfbd8c00e9f5419ceda;2022-06-10;True;10;5;10;6;10;10;Neither easy nor difficult;Female;31;NA;08:50;00:01:35;Data Analyst;NA;Tech;NA;106,00;125,00;115,50;115500;United States;NA;Other;Mostly use sql but that?s not programming language..;White or Caucasian;NA;Remote Work;NA
62a33e38f3072dd8926221d3;2022-06-10;True;5;6;8;8;7;1;Neither easy nor difficult;Male;28;NA;08:51;00:01:25;Data Analyst;NA;Healthcare;NA;,00;40,00;20,00;20000;Other;Azerbaijan;Python;NA;White or Caucasian;NA;Remote Work;NA
62a33e54d8c00e9f5419cfe9;2022-06-10;False;4;4;4;4;4;4;Neither easy nor difficult;Male;32;NA;08:51;00:01:47;Data Analyst;NA;Finance;NA;,00;40,00;20,00;20000;Other;Argentina;Python;NA;Hispanic or Latino;NA;Better Salary;NA
62a33e62575fa3a5ae88aabf;2022-06-10;False;7;8;8;8;3;8;Easy;Male;24;NA;08:51;00:02:14;Data Analyst;NA;Tech;NA;,00;40,00;20,00;20000;Other;Sudan;Python;NA;Black or African American;NA;Better Salary;NA
62a33e63cec54911e9ca4f99;2022-06-10;False;4;6;6;6;7;7;Easy;Male;31;NA;08:51;00:02:21;Data Analyst;NA;Tech;NA;,00;40,00;20,00;20000;India;NA;Python;NA;Asian or Asian American;NA;Good Work/Life Balance;NA
62a33e72bae91e4b8b82ea1a;2022-06-10;False;7;10;5;5;5;2;Difficult;Male;23;NA;08:52;00:02:07;Data Analyst;NA;Other;Insurance;66,00;85,00;75,50;75500;United States;NA;Other;SQL;White or Caucasian;NA;Other;Responsibilities
62a33e890f8c8599d5af13b9;2022-06-10;True;1;6;9;1;0;2;Difficult;Female;33;NA;08:52;00:01:20;Data Analyst;NA;Other;Energy;106,00;125,00;115,50;115500;United States;NA;Python;NA;Asian or Asian American;NA;Remote Work;NA
62a33e8bf8d5efcc22f7c79a;2022-06-10;False;6;7;7;7;7;4;Very Easy;Male;43;NA;08:52;00:01:34;Data Analyst;NA;Healthcare;NA;86,00;105,00;95,50;95500;United States;NA;Other;Qlik sense script;White or Caucasian;NA;Better Salary;NA
62a33e90cec54911e9ca5031;2022-06-10;True;0;0;5;0;0;0;Very Difficult;Female;23;NA;08:52;00:01:34;Student/Looking/None;NA;Other;Oil and gas;,00;40,00;20,00;20000;Other;Nigeria;R;NA;Other;African;Remote Work;NA
62a33e9df8f756164585277b;2022-06-10;True;10;7;10;10;5;3;Very Difficult;Male;31;NA;08:52;00:01:47;Student/Looking/None;NA;Finance;NA;41,00;65,00;53,00;53000;United States;NA;Python;NA;Black or African American;NA;Good Work/Life Balance;NA
62a33eb6bc6861bf3176c5a3;2022-06-10;True;5;6;7;5;4;4;Neither easy nor difficult;Male;31;NA;08:53;00:01:38;Data Analyst;NA;Finance;NA;66,00;85,00;75,50;75500;United Kingdom;NA;Python;NA;White or Caucasian;NA;Other;Development
62a33ee0bae91e4b8b82eaec;2022-06-10;True;8;7;8;7;7;7;Difficult;Male;25;NA;08:53;00:03:30;Data Analyst;NA;Other;Other (Please Specify);,00;40,00;20,00;20000;India;NA;Python;NA;Asian or Asian American;NA;Good Work/Life Balance;NA
62a33ee80f8c8599d5af14b7;2022-06-10;False;8;10;10;9;9;9;Easy;Male;43;NA;08:54;00:01:37;Data Engineer;NA;Tech;NA;125,00;150,00;137,50;137500;United States;NA;Other;SQL;White or Caucasian;NA;Better Salary;NA
62a33efe0a77c1a77f65bf1e;2022-06-10;False;2;3;5;5;5;5;Difficult;Female;26;NA;08:54;00:02:08;Data Analyst;NA;Finance;NA;41,00;65,00;53,00;53000;Canada;NA;Python;NA;Other;South Asian;Better Salary;NA
62a33f0ef408bae018ed3aeb;2022-06-10;False;5;10;8;8;8;7;Neither easy nor difficult;Male;32;NA;08:54;00:03:54;Other;FP&A Analyst;Other;Automotive;41,00;65,00;53,00;53000;Other;Japan;Python;NA;White or Caucasian;NA;Remote Work;NA
62a33f17f8f7561645852867;2022-06-10;False;2;9;7;7;5;6;Difficult;Male;31;NA;08:54;00:02:28;Other;BI Developer ;Tech;NA;,00;40,00;20,00;20000;Other;Greece;Python;NA;White or Caucasian;NA;Better Salary;NA
62a33f52bc6861bf3176c72c;2022-06-10;True;3;5;6;4;4;5;Neither easy nor difficult;Male;29;NA;08:55;00:01:33;Data Analyst;NA;Healthcare;NA;86,00;105,00;95,50;95500;United States;NA;Other;sql;White or Caucasian;NA;Better Salary;NA
62a33f56cf255543173005e9;2022-06-10;True;3;1;3;2;3;1;Neither easy nor difficult;Male;24;NA;08:55;00:00:56;Data Analyst;NA;Other;Automotive ;,00;40,00;20,00;20000;Other;Per? ;Python;NA;Hispanic or Latino;NA;Good Culture;NA
62a33f5a5d257a28a30d7bb5;2022-06-10;True;2;0;2;2;0;0;Very Difficult;Male;34;NA;08:55;00:02:38;Student/Looking/None;NA;Construction;NA;41,00;65,00;53,00;53000;United States;NA;Python;NA;White or Caucasian;NA;Remote Work;NA
62a33fa5cec54911e9ca51f1;2022-06-10;True;5;6;6;5;4;6;Very Difficult;Male;42;NA;08:57;00:01:52;Data Analyst;NA;Other;Utili;41,00;65,00;53,00;53000;Other;Australia;Other;Power bi;Other;Indian;Better Salary;NA
62a33fcb575fa3a5ae88ad59;2022-06-10;True;0;0;0;0;0;0;Difficult;Female;40;NA;08:57;00:02:03;Student/Looking/None;NA;Other;Not working yet;,00;40,00;20,00;20000;United States;NA;JavaScript;NA;Asian or Asian American;NA;Remote Work;NA
62a33fcf18134ddc75ce91c3;2022-06-10;False;3;1;3;4;0;3;Easy;Male;43;NA;08:57;00:02:32;Student/Looking/None;NA;Telecommunication;NA;41,00;65,00;53,00;53000;Other;Spain;Python;NA;White or Caucasian;NA;Good Work/Life Balance;NA
62a34006d8c00e9f5419d341;2022-06-10;True;0;0;0;0;0;0;Very Difficult;Male;23;NA;08:58;00:02:39;Student/Looking/None;NA;Construction;NA;,00;40,00;20,00;20000;Other;Kenya ;Python;NA;Other;Kenyan African ;Better Salary;NA
62a34020575fa3a5ae88ade0;2022-06-10;True;5;5;3;5;2;6;Difficult;Male;23;NA;08:59;00:01:11;Student/Looking/None;NA;Education;NA;,00;40,00;20,00;20000;Other;Japan;Python;NA;Asian or Asian American;NA;Better Salary;NA
62a34038b4da29969c62eafe;2022-06-10;True;8;6;2;3;6;7;Neither easy nor difficult;Male;28;NA;08:59;00:03:55;Data Analyst;NA;Other;Manufa;86,00;105,00;95,50;95500;United States;NA;Python;NA;White or Caucasian;NA;Other;Strong organizational data strategy, high-performing team
62a3406b575fa3a5ae88ae78;2022-06-10;False;5;7;1;1;0;8;Neither easy nor difficult;Male;32;NA;09:00;00:01:25;Data Analyst;NA;Finance;NA;66,00;85,00;75,50;75500;United States;NA;Other;SQL;White or Caucasian;NA;Better Salary;NA
62a340cab4da29969c62ec01;2022-06-10;True;7;8;10;8;9;9;Difficult;Female;41;NA;09:02;00:02:47;Data Analyst;NA;Other;Manufacturing (Chemicals);66,00;85,00;75,50;75500;United States;NA;R;NA;White or Caucasian;NA;Remote Work;NA
62a340d62e54c9003e5324b4;2022-06-10;True;5;6;6;6;6;6;Neither easy nor difficult;Male;33;High School;09:02;00:00:56;Data Analyst;NA;Finance;NA;41,00;65,00;53,00;53000;United Kingdom;NA;Python;NA;White or Caucasian;NA;Remote Work;NA
62a340e10a77c1a77f65c2e7;2022-06-10;True;10;8;9;8;8;10;Easy;Male;38;NA;09:02;00:01:57;Other;Manager, Business Intelligence Develop;Tech;NA;150,00;225,00;187,50;187500;United States;NA;Python;NA;Hispanic or Latino;NA;Good Work/Life Balance;NA
62a340f5bc6861bf3176caa4;2022-06-10;False;8;8;8;8;5;10;Easy;Female;22;NA;09:02;00:02:32;Data Analyst;NA;Tech;NA;,00;40,00;20,00;20000;India;NA;Other;sql;Other;Indian;Better Salary;NA
62a34117cec54911e9ca54e7;2022-06-10;True;1;3;6;6;6;9;Difficult;Male;36;Bachelors;09:03;00:01:59;Student/Looking/None;NA;Other;Currently studying . Previously worked in Power Generation;,00;40,00;20,00;20000;Other;Barbados;R;NA;Black or African American;NA;Remote Work;NA
62a3413a5d257a28a30d8074;2022-06-10;False;2;1;1;1;3;7;Easy;Female;28;Masters;09:03;00:01:18;Data Engineer;NA;Finance;NA;66,00;85,00;75,50;75500;United States;NA;Python;NA;Asian or Asian American;NA;Remote Work;NA
62a341a1f3072dd8926229a5;2022-06-10;True;;;;;;7;Very Easy;Male;30;NA;09:05;00:08:11;Student/Looking/None;NA;Other;Not working at the moment, but previously I have been into Education industry;,00;40,00;20,00;20000;Other;South Africa;Other;NA;Other;Black African, Zimbabwean Citizen;Other;NA
62a341b0f8f7561645852d1d;2022-06-10;True;6;6;6;6;5;6;Difficult;Female;24;Bachelors;09:05;00:01:44;Data Analyst;NA;Tech;NA;66,00;85,00;75,50;75500;United States;NA;Python;NA;Hispanic or Latino;NA;Other;Currently very happy with where I am.
62a341e8f8d5efcc22f7d002;2022-06-10;False;3;6;7;7;0;3;Very Difficult;Male;29;Bachelors;09:06;00:01:58;Other;Business Analyst ;Other;Third Party Logistics ;41,00;65,00;53,00;53000;United States;NA;C/C++;NA;White or Caucasian;NA;Better Salary;NA
62a34210cf25554317300c02;2022-06-10;False;4;9;10;9;9;10;Easy;Male;29;Associates;09:07;00:02:15;Data Analyst;NA;Tech;NA;,00;40,00;20,00;20000;Other;Colombia;Python;NA;Hispanic or Latino;NA;Better Salary;NA
62a3424eb4da29969c62eedd;2022-06-10;True;6;8;8;7;9;7;Neither easy nor difficult;Male;38;Masters;09:08;00:02:04;Other;Business Analyst;Other;Automotive;41,00;65,00;53,00;53000;Other;Germany;Python;NA;White or Caucasian;NA;Good Work/Life Balance;NA
62a34256bae91e4b8b82f16d;2022-06-10;True;3;5;4;3;3;3;Difficult;Male;31;Masters;09:08;00:01:46;Data Analyst;NA;Finance;NA;,00;40,00;20,00;20000;Other;Bulgaria;Other;I don?t know any;White or Caucasian;NA;Good Work/Life Balance;NA
62a3426cf408bae018ed409b;2022-06-10;False;1;4;5;5;1;1;Difficult;Male;25;Masters;09:09;00:01:33;Student/Looking/None;NA;Tech;NA;,00;40,00;20,00;20000;United States;NA;Python;NA;White or Caucasian;NA;Better Salary;NA
62a34272f8d5efcc22f7d15f;2022-06-10;False;4;6;4;5;4;4;Neither easy nor difficult;Male;24;Masters;09:09;00:01:09;Data Analyst;NA;Telecommunication;NA;66,00;85,00;75,50;75500;United States;NA;Python;NA;White or Caucasian;NA;Better Salary;NA
62a34340bc6861bf3176d05b;2022-06-10;True;6;7;4;3;9;8;Difficult;Male;28;Bachelors;09:12;00:04:03;Other;Business Intelligence Consultant;Tech;NA;41,00;65,00;53,00;53000;Other;Turkey;Python;NA;White or Caucasian;NA;Better Salary;NA
62a34383b4da29969c62f1be;2022-06-10;False;7;5;8;0;0;0;Neither easy nor difficult;Female;23;Bachelors;09:13;00:01:03;Student/Looking/None;NA;Tech;NA;,00;40,00;20,00;20000;India;NA;Python;NA;Asian or Asian American;NA;Good Culture;NA
62a34389cec54911e9ca5a22;2022-06-10;False;2;3;2;5;5;7;Neither easy nor difficult;Male;21;Masters;09:13;00:01:01;Data Engineer;NA;Tech;NA;,00;40,00;20,00;20000;Other;Spain;R;NA;Hispanic or Latino;NA;Remote Work;NA
62a343a22e54c9003e532a2a;2022-06-10;False;4;4;4;4;5;6;Neither easy nor difficult;Male;29;Bachelors;09:14;00:02:43;Data Analyst;NA;Other;Energy;,00;40,00;20,00;20000;Other;France;Python;NA;Other;Human;Remote Work;NA
62a343d9f3072dd892622fe4;2022-06-10;True;5;6;7;7;7;6;Difficult;Male;25;Bachelors;09:15;00:03:15;Data Analyst;NA;Tech;NA;41,00;65,00;53,00;53000;United States;NA;Python;NA;Asian or Asian American;NA;Better Salary;NA
62a34400d8c00e9f5419dc2b;2022-06-10;False;6;6;6;6;3;5;Difficult;Male;27;Masters;09:15;00:01:24;Data Analyst;NA;Tech;NA;41,00;65,00;53,00;53000;Other;Germany;Python;NA;Black or African American;NA;Good Culture;NA
62a34425f8d5efcc22f7d525;2022-06-10;True;3;9;10;8;9;9;Easy;Male;23;Bachelors;09:16;00:01:28;Data Analyst;NA;Tech;NA;41,00;65,00;53,00;53000;India;NA;Python;NA;Asian or Asian American;NA;Better Salary;NA
62a34449575fa3a5ae88b637;2022-06-10;False;4;3;3;5;5;5;Difficult;Male;32;Masters;09:16;00:02:36;Other;Sr. Supply Chain Analyst ;Other;Food & Beverage ;86,00;105,00;95,50;95500;United States;NA;R;NA;Asian or Asian American;NA;Better Salary;NA
62a3445dcf255543173011e1;2022-06-10;True;5;5;7;5;7;7;Neither easy nor difficult;Male;22;Bachelors;09:17;00:02:41;Student/Looking/None;NA;Healthcare;NA;106,00;125,00;115,50;115500;India;NA;Python;NA;Asian or Asian American;NA;Remote Work;NA
62a3447a575fa3a5ae88b6c0;2022-06-10;False;2;9;9;8;6;2;Easy;Male;25;Bachelors;09:17;00:04:14;Data Analyst;NA;Tech;NA;,00;40,00;20,00;20000;Other;Thailand;Python;NA;Asian or Asian American;NA;Better Salary;NA
62a3449f7dc029e2d66bf5d1;2022-06-10;True;2;8;6;6;5;5;Neither easy nor difficult;Female;36;Masters;09:18;00:01:15;Data Analyst;NA;Telecommunication;NA;,00;40,00;20,00;20000;Other;Germany;Python;NA;White or Caucasian;NA;Remote Work;NA
62a344c5f408bae018ed4806;2022-06-10;True;10;6;9;5;8;7;Easy;Female;27;Bachelors;09:19;00:02:21;Data Analyst;NA;Tech;NA;106,00;125,00;115,50;115500;United States;NA;Other;SQL;White or Caucasian;NA;Good Work/Life Balance;NA
62a344c6f8d5efcc22f7d6e1;2022-06-10;True;5;5;5;5;5;1;Neither easy nor difficult;Male;23;Bachelors;09:19;00:02:17;Other;Business analyst ;Tech;NA;,00;40,00;20,00;20000;India;NA;Python;NA;Asian or Asian American;NA;Other;My passion is to become a Data analyst 
62a344e1f3072dd892623328;2022-06-10;True;2;3;3;3;3;6;Very Difficult;Male;26;Bachelors;09:19;00:01:32;Student/Looking/None;NA;Tech;NA;,00;40,00;20,00;20000;Other;Netherlands;Other;Sql;Black or African American;NA;Better Salary;NA
62a3450424a262602738357f;2022-06-10;False;9;10;10;10;10;10;Very Easy;Female;33;PhD;09:20;00:01:19;Other;Director of Data Analytics;Healthcare;NA;86,00;105,00;95,50;95500;United States;NA;Python;NA;Hispanic or Latino;NA;Good Work/Life Balance;NA
62a3452818134ddc75ce9e1b;2022-06-10;True;3;5;3;3;5;5;Easy;Male;27;Masters;09:20;00:01:33;Data Analyst;NA;Other;Automotive;106,00;125,00;115,50;115500;Other;Turkey;Python;NA;White or Caucasian;NA;Better Salary;NA
62a345490a77c1a77f65cc5b;2022-06-10;True;3;6;5;4;3;4;Neither easy nor difficult;Male;42;Associates;09:21;00:01:38;Data Analyst;NA;Education;NA;41,00;65,00;53,00;53000;United States;NA;R;NA;White or Caucasian;NA;Better Salary;NA
62a3455bbc6861bf3176d57a;2022-06-10;True;6;7;8;7;7;8;Easy;Male;29;Masters;09:21;00:02:36;Data Analyst;NA;Tech;NA;,00;40,00;20,00;20000;Other;Spain;Python;NA;White or Caucasian;NA;Good Work/Life Balance;NA
62a3457bf8d5efcc22f7da17;2022-06-10;False;4;7;6;4;2;4;Easy;Female;27;Masters;09:22;00:01:08;Data Analyst;NA;Tech;NA;125,00;150,00;137,50;137500;United States;NA;Python;NA;Asian or Asian American;NA;Better Salary;NA
62a345b2bae91e4b8b82fad6;2022-06-10;False;0;10;10;10;4;2;Neither easy nor difficult;Female;39;Bachelors;09:22;00:01:41;Student/Looking/None;NA;Healthcare;NA;41,00;65,00;53,00;53000;United States;NA;Python;NA;Hispanic or Latino;NA;Remote Work;NA
62a345c47dc029e2d66bf80a;2022-06-10;True;6;6;7;5;6;7;Difficult;Male;31;Masters;09:23;00:01:36;Data Analyst;NA;Telecommunication;NA;41,00;65,00;53,00;53000;Other;Denmark;Python;NA;White or Caucasian;NA;Good Culture;NA
62a345e25d257a28a30d8b43;2022-06-10;True;7;7;5;9;7;8;Easy;Male;29;Bachelors;09:23;00:03:09;Data Analyst;NA;Other;Marketing;66,00;85,00;75,50;75500;Other;Brazil;Python;NA;Hispanic or Latino;NA;Good Work/Life Balance;NA
62a34646f8d5efcc22f7dc5c;2022-06-10;True;7;7;7;7;4;7;Easy;Male;31;Masters;09:25;00:01:22;Data Analyst;NA;Education;NA;66,00;85,00;75,50;75500;United States;NA;R;NA;White or Caucasian;NA;Remote Work;NA
62a34687f408bae018ed4c52;2022-06-10;True;10;9;9;10;9;10;Neither easy nor difficult;Male;30;Masters;09:26;00:01:30;Data Analyst;NA;Finance;NA;,00;40,00;20,00;20000;Other;Mexico;Python;NA;Hispanic or Latino;NA;Good Culture;NA
62a346a37dc029e2d66bfa6d;2022-06-10;True;7;8;6;5;5;9;Difficult;Male;33;Masters;09:26;00:03:05;Data Engineer;NA;Tech;NA;,00;40,00;20,00;20000;Other;Mexico;Python;NA;Hispanic or Latino;NA;Better Salary;NA
62a346a95d257a28a30d8cb9;2022-06-10;False;7;8;9;7;7;7;Neither easy nor difficult;Male;25;Bachelors;09:27;00:00:58;Data Analyst;NA;Other;Retail;66,00;85,00;75,50;75500;United States;NA;Python;NA;White or Caucasian;NA;Better Salary;NA
62a346b4bc6861bf3176d7ce;2022-06-10;False;0;0;0;0;0;0;Neither easy nor difficult;Male;23;Bachelors;09:27;00:01:09;Student/Looking/None;NA;Tech;NA;,00;40,00;20,00;20000;India;NA;R;NA;Other;Indian;Good Work/Life Balance;NA
62a346cef8f756164585385b;2022-06-10;True;4;4;3;3;5;6;Very Difficult;Male;33;Bachelors;09:27;00:01:51;Data Analyst;NA;Other;Advertising;41,00;65,00;53,00;53000;United States;NA;Other;Dont require;Asian or Asian American;NA;Better Salary;NA
62a346d724a2626027383abd;2022-06-10;True;7;9;9;8;8;9;Neither easy nor difficult;Male;35;Bachelors;09:27;00:02:29;Other;Business Analyst;Other;Logistics;66,00;85,00;75,50;75500;Other;Chile;Python;NA;Hispanic or Latino;NA;Good Work/Life Balance;NA
62a346d90a77c1a77f65d08d;2022-06-10;False;6;8;5;;6;9;Neither easy nor difficult;Female;42;Masters;09:27;00:02:39;Data Analyst;NA;Other;Staffing and Recruting ;41,00;65,00;53,00;53000;Other;Greece;Python;NA;White or Caucasian;NA;Remote Work;NA
62a34726f8d5efcc22f7dec7;2022-06-10;False;3;4;2;1;0;4;Neither easy nor difficult;Male;25;Bachelors;09:29;00:01:14;Data Analyst;NA;Tech;NA;66,00;85,00;75,50;75500;United States;NA;Python;NA;White or Caucasian;NA;Better Salary;NA
62a3476c5d257a28a30d8e6d;2022-06-10;False;5;4;5;4;3;6;Neither easy nor difficult;Male;23;Bachelors;09:30;00:03:00;Data Analyst;NA;Other;Automotive;86,00;105,00;95,50;95500;United States;NA;Python;NA;White or Caucasian;NA;Other;Different job title, either product owner or consulting
62a347b4f8f7561645853a98;2022-06-10;False;2;4;6;5;3;4;Easy;Female;51;Bachelors;09:31;00:02:02;Other;Learning Management Specialist;Healthcare;NA;41,00;65,00;53,00;53000;United States;NA;JavaScript;NA;Black or African American;NA;Better Salary;NA
62a347f6b4da29969c62fb79;2022-06-10;False;1;4;4;3;2;6;Very Difficult;Male;30;Bachelors;09:32;00:01:45;Data Analyst;NA;Telecommunication;NA;,00;40,00;20,00;20000;United Kingdom;NA;Other;Other;Black or African American;NA;Better Salary;NA
62a3483018134ddc75cea4e6;2022-06-10;True;8;9;9;9;9;8;Very Difficult;Male;23;Bachelors;09:33;00:01:41;Data Analyst;NA;Finance;NA;41,00;65,00;53,00;53000;India;NA;Python;NA;Asian or Asian American;NA;Better Salary;NA
62a348650f8c8599d5af2b77;2022-06-10;True;3;5;5;6;3;4;Neither easy nor difficult;Male;24;Bachelors;09:34;00:01:06;Other;Research Analyst;Other;Advertising;41,00;65,00;53,00;53000;Canada;NA;R;NA;Asian or Asian American;NA;Better Salary;NA
62a3489318134ddc75cea659;2022-06-10;True;6;6;6;6;6;6;Easy;Male;25;Masters;09:35;00:01:06;Student/Looking/None;NA;Tech;NA;41,00;65,00;53,00;53000;Other;Australia;Python;NA;Asian or Asian American;NA;Good Culture;NA
62a348bf2e54c9003e533634;2022-06-10;True;4;4;6;4;5;6;Difficult;Female;55;Masters;09:35;00:02:22;Data Analyst;NA;Finance;NA;41,00;65,00;53,00;53000;United States;NA;Python;NA;Other;Race isn't a thing;Better Salary;NA
62a348c2f3072dd892623c10;2022-06-10;False;8;10;8;7;8;10;Very Easy;Female;30;Masters;09:36;00:01:56;Data Analyst;NA;Other;Biotech;86,00;105,00;95,50;95500;United States;NA;R;NA;White or Caucasian;NA;Remote Work;NA
62a348f2f8d5efcc22f7e2ba;2022-06-10;True;9;9;9;9;7;4;Difficult;Male;25;Bachelors;09:36;00:01:10;Data Analyst;NA;Other;Consulting;41,00;65,00;53,00;53000;Canada;NA;Python;NA;Asian or Asian American;NA;Better Salary;NA
62a349160a77c1a77f65d4db;2022-06-10;True;6;9;7;6;7;7;Neither easy nor difficult;Male;28;Masters;09:37;00:00:28;Data Analyst;NA;Other;Consumer Elec;66,00;85,00;75,50;75500;United States;NA;Python;NA;White or Caucasian;NA;Better Salary;NA
62a3493fb4da29969c62fe63;2022-06-10;True;8;8;9;9;10;10;Very Easy;Male;34;Bachelors;09:38;00:02:22;Other;Insights analyst;Other;Consulting;41,00;65,00;53,00;53000;United Kingdom;NA;Python;NA;White or Caucasian;NA;Better Salary;NA
